number	name	type	paralog	control	transcript	chr	strand	hg19_start	hg19_end	upstream	downstream	exon_starts	exon_ends	masked_starts	masked_ends	pv_refseq	cdc_start	pv_member	pv_transcript	cnsr	dpsv_member	function
11	cyp2c8	target	.	no	NM_000770.3	chr10	-	96796528	96829254	3000	3000	96796528,96798653,96802646,96805566,96818091,96824556,96826964,96827285,96828991,	96797066,96798795,96802834,96805708,96818268,96824717,96827114,96827448,96829254,	.	.	NG_007972.1	5096	yes	NM_000770.3	.	no	metabolism
12	cyp2c9	target	.	no	NM_000771.3	chr10	+	96698414	96749148	3000	3000	96698414,96701614,96701948,96707535,96708864,96731860,96740939,96745789,96748603,	96698607,96701777,96702098,96707696,96709041,96732002,96741127,96745931,96749148,	.	.	NG_008385.1	5026	yes	NM_000771.3	.	no	metabolism
13	cyp2c19	target	.	no	NM_000769.2	chr10	+	96522437	96612962	3000	3000	96522437,96534814,96535146,96540255,96541577,96580252,96602593,96609673,96612489,	96522630,96534977,96535296,96540416,96541754,96580394,96602781,96609815,96612962,	.	.	NG_008384.3	5026	yes	NM_000769.1	.	no	metabolism
14	cyp2d6	target	cyp2d7	no	NM_000106.5	chr22	-	42522500	42526883	10000	25000	42522500,42522852,42523448,42523843,42524175,42524785,42525034,42525739,42526613,	42522754,42522994,42523636,42523985,42524352,42524946,42525187,42525911,42526883,	42518488,42525878,42530155,42536217,	42523670,42526386,42533937,42537525,	NG_008376.3	4201	yes	NM_000106.5	chr22:42546883-42551883	yes	metabolism
15	cyp2d7	paralog	.	no	NR_002570.3	chr22	-	42536213	42540576	0	0	42536213,42536565,42537161,42537543,42537877,42538479,42538728,42539410,42540284,	42536467,42536707,42537349,42537685,42538054,42538640,42538881,42539582,42540576,	.	.	.	.	no	.	.	no	.
16	cyp2e1	target	.	no	NM_000773.3	chr10	+	135340866	135352620	10000	10000	135340866,135341984,135345088,135345627,135346195,135347259,135350566,135351254,135352283,	135341076,135342144,135345238,135345788,135346372,135347401,135350754,135351396,135352620,	.	.	.	.	yes	.	.	yes	metabolism
17	cyp2f1	target	.	no	NM_000774.4	chr19	+	41620336	41634286	3000	3000	41620336,41622082,41622359,41626251,41627362,41627861,41628726,41630623,41631397,41633805,	41620397,41622264,41622522,41626401,41627523,41628038,41628868,41630811,41631539,41634286,	.	.	NG_007930.1	6742	yes	NM_000774.4	.	no	metabolism
18	cyp2j2	target	.	no	NM_000775.3	chr1	-	60358979	60392470	3000	3000	60358979,60366636,60370542,60373457,60375455,60377279,60377833,60381609,60392208,	60359501,60366775,60370730,60373599,60375632,60377440,60377983,60381772,60392470,	.	.	NG_007931.1	5006	yes	NM_000775.3	.	no	metabolism
19	cyp2r1	target	.	no	NM_024514.4	chr11	-	14899554	14913751	3000	3000	14899554,14900659,14901681,14907321,14913526,	14899843,14900989,14902314,14907463,14913751,	.	.	NG_007936.1	5001	yes	NM_024514.4	.	no	metabolism
20	cyp2s1	target	.	no	NM_030622.7	chr19	+	41699111	41713444	3000	3000	41699111,41700448,41703683,41704366,41704613,41707135,41709354,41711862,41712184,	41699346,41700614,41703833,41704527,41704793,41707277,41709542,41712004,41713444,	.	.	NG_007933.3	5056	yes	NM_030622.7	.	no	metabolism
21	cyp2w1	target	.	no	NM_017781.2	chr7	+	1022834	1029276	3000	3000	1022834,1024047,1024585,1024801,1026259,1026742,1026982,1027912,1028270,	1023021,1024210,1024735,1024959,1026433,1026881,1027167,1028054,1029276,	.	.	NG_007934.1	5014	yes	NM_017781.2	.	no	metabolism
22	cyp3a4	target	.	no	NM_017460.5	chr7	-	99354582	99381811	3000	3000	99354582,99358441,99359663,99361477,99363999,99364753,99365976,99367390,99367744,99370212,99375650,99377614,99381633,	99355851,99358604,99359890,99361638,99364066,99364881,99366125,99367479,99367858,99370312,99375703,99377708,99381811,	.	.	.	.	yes	.	.	no	metabolism
23	cyp3a5	target	.	no	NM_000777.4	chr7	-	99245811	99277649	3000	3000	99245811,99247695,99250175,99258121,99260438,99261590,99262788,99264223,99264574,99270202,99272155,99273737,99277448,	99246023,99247855,99250402,99258282,99260505,99261718,99262937,99264312,99264688,99270302,99272208,99273831,99277649,	.	.	.	.	yes	.	.	no	metabolism
24	cyp3a7	target	.	no	NM_000765.4	chr7	-	99302659	99332823	3000	3000	99302659,99305434,99306657,99308354,99311091,99312177,99313380,99314799,99315148,99317935,99319918,99328681,99332645,	99303218,99305597,99306884,99308515,99311158,99312305,99313529,99314888,99315262,99318035,99319971,99328775,99332823,	.	.	NG_007983.1	5106	yes	NM_000765.4	.	no	metabolism
25	cyp3a43	target	.	no	NM_057095.2	chr7	+	99425635	99463727	3000	3000	99425635,99434075,99436742,99441765,99445110,99445788,99447168,99453213,99454455,99457452,99459235,99461159,99463528,	99425809,99434169,99436795,99441865,99445224,99445877,99447317,99453341,99454522,99457613,99459462,99461322,99463727,	.	.	NG_007935.1	5104	yes	NM_057095.2	.	no	metabolism
26	cyp4b1	target	.	no	NM_000779.3	chr1	+	47264669	47285021	3000	3000	47264669,47276479,47276811,47278167,47279153,47279583,47279880,47280745,47282719,47283636,47283802,47284302,	47264933,47276621,47276856,47278295,47279278,47279735,47279987,47280936,47282853,47283701,47283885,47285021,	.	.	.	.	no	.	.	no	metabolism
27	cyp4f2	target	.	no	NM_001082.4	chr19	-	15988833	16008930	15000	15000	15988833,15990155,15990413,15990573,15996733,15997051,16000232,16001121,16003118,16003338,16006315,16008223,16008835,	15989746,15990238,15990478,15990707,15996863,15997118,16000503,16001243,16003246,16003392,16006460,16008422,16008930,	.	.	NG_007971.2	5464	yes	NM_001082.4	.	no	metabolism
28	cyp19a1	target	.	no	NM_000103.3	chr15	-	51500253	51630795	3000	3000	51500253,51504516,51507266,51507899,51510737,51514545,51519975,51529055,51534964,51630691,	51503253,51504758,51507429,51508014,51510852,51514722,51520130,51529206,51535147,51630795,	.	.	.	.	yes	.	.	no	metabolism
29	cyp26a1	target	.	no	NM_000783.3	chr10	+	94833646	94837641	3000	3000	94833646,94834064,94834535,94834905,94835582,94836300,94836719,	94833880,94834289,94834826,94835064,94835717,94836453,94837641,	.	.	NG_008067.1	5461	yes	NM_000783.3	.	no	metabolism
30	dpyd	target	.	no	NM_000110.3	chr1	-	97543298	98386615	3000	3000	97543298,97547885,97564044,97658624,97700407,97770814,97771732,97839116,97847948,97915614,97981281,98015115,98039315,98058773,98060614,98144650,98157272,98164906,98187065,98205947,98293669,98348819,98386439,	97544702,97548026,97564188,97658804,97700550,97770934,97771853,97839200,97848017,97915779,97981497,98015300,98039526,98058943,98060722,98144738,98157354,98165103,98187227,98206035,98293752,98348930,98386615,	.	.	.	.	no	.	.	no	excretion
31	egfr	control	.	yes	NM_005228.4	chr7	+	55086713	55275773	3000	3000	55086713,55209978,55210997,55214298,55218986,55220238,55221703,55223522,55224225,55224451,55225355,55227831,55229191,55231425,55232972,55238867,55240675,55241613,55242414,55248985,55259411,55260458,55266409,55268008,55268880,55269427,55270209,55272948,	55087058,55210130,55211181,55214433,55219055,55220357,55221845,55223639,55224352,55224525,55225446,55228031,55229324,55231516,55233130,55238906,55240817,55241736,55242513,55249171,55259567,55260534,55266556,55268106,55269048,55269475,55270318,55275773,	.	.	.	.	no	.	.	no	target
32	g6pd	target	.	no	NM_001042351.2	chrX	-	153759604	153775801	3000	3000	153759604,153760402,153760600,153760781,153761156,153761790,153762249,153762552,153763382,153764151,153764355,153774250,153775682,	153760305,153760495,153760677,153761017,153761343,153761884,153762375,153762711,153763600,153764260,153764393,153774378,153775801,	.	.	.	.	no	.	.	no	drug-induced disease
33	gstm1	target	.	no	NM_000561.3	chr1	+	110230417	110236367	3000	3000	110230417,110230791,110231294,110231669,110231846,110232892,110233075,110235827,	110230531,110230867,110231359,110231751,110231947,110232988,110233186,110236367,	.	.	.	.	no	.	.	yes	metabolism
34	gstp1	target	.	no	NM_000852.3	chr11	+	67351065	67354124	3000	3000	67351065,67351604,67351934,67352155,67352608,67353574,67353859,	67351315,67351640,67352041,67352243,67352712,67353682,67354124,	.	.	.	.	no	.	.	no	metabolism
35	gstt1	target	.	no	NM_000853.3	chr22	-	24376132	24384311	3000	3000	24376132,24376821,24379360,24381699,24384119,	24376617,24376998,24379511,24381787,24384311,	.	.	.	.	no	.	.	yes	metabolism
36	ifnl3	target	.	no	NM_172139.3	chr19	-	39734245	39735646	3000	3000	39734245,39734463,39734647,39735056,39735427,	39734370,39734547,39734797,39735134,39735646,	.	.	.	.	no	.	.	no	other
37	nat1	target	.	no	NM_001160175.3	chr8	+	18067611	18081198	3000	3000	18067611,18068701,18074385,18076919,18079550,	18067689,18068851,18074503,18076998,18081198,	.	.	.	.	no	.	.	no	metabolism/excretion
38	nat2	target	.	no	NM_000015.2	chr8	+	18248754	18258723	3000	3000	18248754,18257507,	18248855,18258723,	.	.	.	.	no	.	.	no	metabolism/excretion
39	nudt15	target	.	no	NM_018283.3	chr13	+	48611702	48621364	3000	3000	48611702,48615055,48619795,	48612040,48615252,48621364,	.	.	NG_047021.1	5181	yes	NM_018283.3	.	no	metabolism
40	por	target	.	no	NM_000941.2	chr7	+	75544419	75616173	3000	3000	75544419,75583306,75601730,75608768,75609656,75610365,75610834,75611541,75612837,75613055,75614094,75614375,75614896,75615240,75615476,75615654,	75544497,75583498,75601779,75608897,75609806,75610490,75610924,75611640,75612954,75613174,75614276,75614525,75615167,75615386,75615559,75616173,	.	.	.	.	yes	.	.	no	drug-induced disease
41	ryr1	target	.	yes	NM_000540.2	chr19	+	38924339	39078204	3000	3000	38924339,38931384,38932988,38934197,38934357,38934788,38935223,38937111,38937333,38938994,38939288,38942403,38943458,38945874,38946090,38946272,38948136,38948690,38949785,38951014,38954062,38954386,38955278,38956730,38958249,38959605,38959944,38964016,38965957,38968349,38969074,38973666,38973929,38976229,38979816,38980715,38981260,38983129,38984991,38986854,38987048,38987499,38989747,38990274,38990547,38991245,38991460,38993146,38993519,38994859,38995387,38995642,38995948,38996445,38996942,38997110,38997468,38998351,39001137,39001299,39002200,39002711,39002884,39005665,39006726,39007998,39009853,39013667,39013856,39014554,39015971,39017632,39018286,39018945,39019238,39019590,39023129,39023310,39025359,39025780,39025955,39026636,39027389,39028519,39033986,39034171,39034410,39037084,39038872,39051752,39055598,39057550,39058412,39061246,39062658,39063816,39066558,39068557,39068783,39070621,39071009,39075582,39076577,39076730,39077164,39077964,	38924514,38931504,38933093,38934272,38934436,38934901,38935317,38937205,38937408,38939151,38939453,38942525,38943654,38946010,38946186,38946391,38948270,38948932,38949978,38951231,38954167,38954490,38955362,38957038,38958452,38959780,38960153,38964411,38966090,38968510,38969240,38973753,38974156,38976842,38980083,38980916,38981372,38983276,38985265,38986969,38987181,38987594,38989883,38990461,38990656,38991366,38991630,38993367,38993610,38995000,38995551,38995721,38996038,38996586,38997017,38997186,38997592,38998467,39001205,39001421,39002250,39002772,39003123,39005747,39006857,39008331,39010094,39013755,39013949,39014569,39016142,39017692,39018424,39019058,39019335,39019697,39023181,39023376,39025459,39025860,39026032,39026710,39027407,39028600,39034075,39034300,39034515,39037166,39039060,39052094,39056411,39057627,39058557,39061333,39062910,39063947,39066601,39068688,39068844,39070768,39071144,39075739,39076642,39076831,39077216,39078204,	.	.	.	.	no	.	.	no	drug-induced disease
42	slc15a2	target	.	no	NM_021082.3	chr3	+	121613170	121663034	3000	3000	121613170,121615252,121616234,121630420,121631867,121634073,121634462,121641066,121641621,121641886,121642068,121643197,121643791,121646604,121647267,121647828,121648148,121649686,121650485,121658195,121659230,121659677,	121613428,121615340,121616376,121630513,121631967,121634164,121634540,121641149,121641708,121641976,121642113,121643230,121643880,121646686,121647402,121647993,121648195,121649797,121650582,121658342,121659335,121663034,	.	.	.	.	no	.	.	no	excretion
43	slc22a2	target	.	no	NM_003058.3	chr6	-	160637793	160679963	10000	10000	160637793,160645736,160662505,160663325,160664603,160666470,160668215,160670247,160671579,160677645,160679375,	160638530,160645836,160662618,160663434,160664818,160666577,160668330,160670416,160671734,160677749,160679963,	.	.	.	.	no	.	chr6:160686963-160689963	yes	excretion
44	slco1b1	target	.	no	NM_006446.4	chr12	+	21284127	21392730	3000	3000	21284127,21294447,21325583,21327510,21329709,21331509,21331855,21349879,21353441,21355424,21358801,21370052,21375233,21377655,21391912,	21284170,21294592,21325725,21327643,21329831,21331656,21331954,21350122,21353606,21355620,21358967,21370237,21375298,21377773,21392730,	.	.	.	.	no	.	.	no	absorption
45	slco1b3	target	.	no	NM_019844.3	chr12	+	20963637	21069845	3000	3000	20963637,20966457,20968607,21007961,21011372,21013950,21015345,21015689,21028168,21030705,21032369,21033788,21036351,21051369,21054283,21068937,	20963698,20966572,20968756,21008103,21011505,21014072,21015492,21015788,21028411,21030870,21032565,21033954,21036536,21051434,21054401,21069845,	.	.	.	.	no	.	.	no	absorption
46	slco2b1	target	.	no	NM_001145211.2	chr11	+	74870843	74917445	3000	3000	74870843,74873699,74875007,74876831,74880217,74880710,74883423,74899180,74904262,74907558,74911268,74913945,74914351,74915444,	74870949,74873830,74875145,74876994,74880451,74880809,74883614,74899283,74904620,74907724,74911432,74914010,74914472,74917445,	.	.	.	.	no	.	.	no	absorption
47	sult1a1	target	.	no	NM_177534.2	chr16	-	28616907	28620649	15000	15000	28616907,28617376,28618081,28618271,28619611,28619798,28620028,	28617254,28617557,28618176,28618398,28619709,28619924,28620649,	28613523,28622892,	28609859,28626701,	.	.	no	.	.	no	metabolism
48	tbxas1	target	.	no	NM_001061.4	chr7	+	139528951	139720125	3000	3000	139528951,139572033,139575383,139611023,139635989,139653166,139655257,139657432,139661717,139706890,139715522,139717470,139719824,	139529278,139572127,139575436,139611120,139636106,139653255,139655406,139657563,139662032,139706982,139715660,139717633,139720125,	.	.	.	.	yes	.	.	no	metabolism
49	tpmt	target	.	no	NM_000367.4	chr6	-	18128541	18155400	3000	3000	18128541,18132363,18134034,18139193,18139895,18143826,18148053,18149218,18155263,	18131011,18132408,18134120,18139268,18139948,18143959,18148146,18149402,18155400,	.	.	.	.	no	.	.	no	metabolism
50	ugt1a1	target	.	no	NM_000463.2	chr2	+	234668918	234681945	6000	6000	234668918,234675679,234676494,234676865,234680907,	234669797,234675811,234676582,234677085,234681945,	.	.	.	.	no	.	.	no	excretion
51	ugt1a4	target	.	no	NM_007120.2	chr2	+	234627437	234681945	3000	3000	234627437,234675679,234676494,234676865,234680907,	234628333,234675811,234676582,234677085,234681945,	.	.	.	.	no	.	.	yes	excretion
52	ugt2b7	target	.	no	NM_001074.3	chr4	+	69962191	69978705	3000	3000	69962191,69964257,69968524,69972892,69973820,69978174,	69962959,69964406,69968656,69972980,69974040,69978705,	.	.	.	.	no	.	.	no	excretion
53	ugt2b15	target	.	no	NM_001076.3	chr4	-	69512314	69536494	6000	6000	69512314,69519754,69520812,69528725,69533757,69535612,	69513101,69519974,69520900,69528857,69533906,69536494,	.	.	.	.	no	.	.	yes	excretion
54	ugt2b17	target	.	no	NM_001077.3	chr4	-	69402901	69434245	3000	3000	69402901,69416394,69417541,69426254,69431289,69433478,	69403622,69416614,69417629,69426386,69431438,69434245,	.	.	.	.	no	.	.	yes	excretion
55	vdr	control	.	yes	NM_001017536.1	chr12	-	48235319	48298814	3000	3000	48235319,48240117,48240439,48249412,48250911,48251286,48258829,48272750,48276476,48298346,	48238788,48240234,48240591,48249584,48251032,48251471,48258960,48272898,48276557,48298814,	.	.	.	.	no	.	.	no	absorption
56	vkorc1	target	.	no	NM_024006.5	chr16	-	31102162	31106320	3000	3000	31102162,31104632,31105877,	31102663,31104742,31106320,	.	.	.	.	no	.	.	no	target
